rank,title,year,imdb_rating,genre,cast_name,storyline,combined_text
787,Scott & Bailey,2011–2016,8.0,"Crime, Drama, Mystery","Suranne Jones, Lesley Sharp, Tony Mooney, David Prosho","Two female detectives, one motherly, the other emotionally immature, have varying levels of success applying their eccentric outlooks on life to their police cases and private lives.","Title: Scott & Bailey Year: 2011–2016 Genre: Crime, Drama, Mystery Cast: Suranne Jones, Lesley Sharp, Tony Mooney, David Prosho. Story: Two female detectives, one motherly, the other emotionally immature, have varying levels of success applying their eccentric outlooks on life to their police cases and private lives."
788,Dragon Ball Super: Doragon bôru cho,2015–2018,8.4,"Animation, Action, Adventure","Masako Nozawa, Naoki Tatsuta, Ryô Horikawa, Sean Schemmel","Six months after the defeat of Majin Buu, The mighty Saiyan Son Goku continues his quest on becoming stronger.","Title: Dragon Ball Super: Doragon bôru cho Year: 2015–2018 Genre: Animation, Action, Adventure Cast: Masako Nozawa, Naoki Tatsuta, Ryô Horikawa, Sean Schemmel. Story: Six months after the defeat of Majin Buu, The mighty Saiyan Son Goku continues his quest on becoming stronger."
789,Treadstone,2019,7.0,Action,"Jeremy Irvine, Tracy Ifeachor, Omar Metwally, Han Hyo-joo","The Treadstone project, having created super spy Jason Bourne, turns its attention on a new protocol to develop unstoppable superhuman assassins.","Title: Treadstone Year: 2019 Genre: Action Cast: Jeremy Irvine, Tracy Ifeachor, Omar Metwally, Han Hyo-joo. Story: The Treadstone project, having created super spy Jason Bourne, turns its attention on a new protocol to develop unstoppable superhuman assassins."
790,To the Lake,I 2019,7.3,"Drama, Sci-Fi, Thriller","Kirill Käro, Maryana Spivak, Aleksandr Robak, Eldar Kalimulin",A terrible plague strikes and a group decides to risk their lives. Humanity struggles to survive as they face the end of their civilization.,"Title: To the Lake Year: I 2019 Genre: Drama, Sci-Fi, Thriller Cast: Kirill Käro, Maryana Spivak, Aleksandr Robak, Eldar Kalimulin. Story: A terrible plague strikes and a group decides to risk their lives. Humanity struggles to survive as they face the end of their civilization."
791,Undone,2019– ,8.2,"Animation, Drama, Fantasy","Rosa Salazar, Angelique Cabral, Constance Marie, Siddharth Dhananjay",A woman discovers she has a new relationship with time after surviving a car accident that almost killed her.,"Title: Undone Year: 2019–  Genre: Animation, Drama, Fantasy Cast: Rosa Salazar, Angelique Cabral, Constance Marie, Siddharth Dhananjay. Story: A woman discovers she has a new relationship with time after surviving a car accident that almost killed her."
792,Deadliest Catch,2005– ,7.8,"Documentary, Adventure, Reality-TV","Mike Rowe, Sig Hansen, Keith Colburn, Jake Anderson",A documentary series chronicling the real-life high-sea adventures of the Alaskan crab fishermen. This is the most deadly profession in the world.,"Title: Deadliest Catch Year: 2005–  Genre: Documentary, Adventure, Reality-TV Cast: Mike Rowe, Sig Hansen, Keith Colburn, Jake Anderson. Story: A documentary series chronicling the real-life high-sea adventures of the Alaskan crab fishermen. This is the most deadly profession in the world."
793,Lovesick,2014–2018,8.1,Comedy,"Johnny Flynn, Antonia Thomas, Daniel Ings, Joshua McGuire","After finding out he has an STD, Dylan must get back in touch with every girl he has ever had sex with to let them know the bad news.","Title: Lovesick Year: 2014–2018 Genre: Comedy Cast: Johnny Flynn, Antonia Thomas, Daniel Ings, Joshua McGuire. Story: After finding out he has an STD, Dylan must get back in touch with every girl he has ever had sex with to let them know the bad news."
794,Waterloo Road,2006–2015,7.2,"Drama, Romance","Philip Martin Brown, Jason Done, Chelsee Healey, Denise Welch",A contemporary drama series set in a challenging comprehensive school.,"Title: Waterloo Road Year: 2006–2015 Genre: Drama, Romance Cast: Philip Martin Brown, Jason Done, Chelsee Healey, Denise Welch. Story: A contemporary drama series set in a challenging comprehensive school."
795,Bless the Harts,2019–2021,5.4,"Animation, Comedy","Kristen Wiig, Maya Rudolph, Jillian Bell, Ike Barinholtz",A group of Southerners strive to live the American dream.,"Title: Bless the Harts Year: 2019–2021 Genre: Animation, Comedy Cast: Kristen Wiig, Maya Rudolph, Jillian Bell, Ike Barinholtz. Story: A group of Southerners strive to live the American dream."
796,One Mississippi,2015–2017,7.4,"Comedy, Drama","Tig Notaro, John Rothman, Noah Harpster, Stephanie Allynne",This semi-autobiographical dark comedy starring Tig Notaro follows her as she returns to her hometown after the sudden death of her mother. Still reeling from her own declining health ...,"Title: One Mississippi Year: 2015–2017 Genre: Comedy, Drama Cast: Tig Notaro, John Rothman, Noah Harpster, Stephanie Allynne. Story: This semi-autobiographical dark comedy starring Tig Notaro follows her as she returns to her hometown after the sudden death of her mother. Still reeling from her own declining health ..."
797,Everybody Hates Chris,2005–2009,7.4,"Comedy, Drama, Music","Terry Crews, Tichina Arnold, Tequan Richmond, Imani Hakim",A young African-American teen attempts to survive with his dysfunctional family and his all-white school in the 1980s.,"Title: Everybody Hates Chris Year: 2005–2009 Genre: Comedy, Drama, Music Cast: Terry Crews, Tichina Arnold, Tequan Richmond, Imani Hakim. Story: A young African-American teen attempts to survive with his dysfunctional family and his all-white school in the 1980s."
798,Melissa & Joey,2010–2015,7.0,"Comedy, Romance","Melissa Joan Hart, Joey Lawrence, Taylor Spreitler, Nick Robinson","After a family scandal leaves Mel, a local politician, in charge of her niece and nephew, she hires a man named Joe to become the family's male nanny, or ""manny"".","Title: Melissa & Joey Year: 2010–2015 Genre: Comedy, Romance Cast: Melissa Joan Hart, Joey Lawrence, Taylor Spreitler, Nick Robinson. Story: After a family scandal leaves Mel, a local politician, in charge of her niece and nephew, she hires a man named Joe to become the family's male nanny, or ""manny""."
799,Transparent,2014–2019,7.7,"Comedy, Drama","Jeffrey Tambor, Amy Landecker, Gaby Hoffmann, Jay Duplass",An L.A. family with serious boundary issues have their past and future unravel when a dramatic admission causes everyone's secrets to spill out.,"Title: Transparent Year: 2014–2019 Genre: Comedy, Drama Cast: Jeffrey Tambor, Amy Landecker, Gaby Hoffmann, Jay Duplass. Story: An L.A. family with serious boundary issues have their past and future unravel when a dramatic admission causes everyone's secrets to spill out."
800,Fortitude,2015–2018,7.4,"Drama, Horror, Mystery","Richard Dormer, Björn Hlynur Haraldsson, Sienna Guillory, Mia Jexen","Perched on the edge of the Arctic Circle, Fortitude is one of the safest towns on earth. There has never been a violent crime here. Until now.","Title: Fortitude Year: 2015–2018 Genre: Drama, Horror, Mystery Cast: Richard Dormer, Björn Hlynur Haraldsson, Sienna Guillory, Mia Jexen. Story: Perched on the edge of the Arctic Circle, Fortitude is one of the safest towns on earth. There has never been a violent crime here. Until now."
801,Trollhunters,2016–2018,8.5,"Animation, Action, Adventure","Charlie Saxton, Lexi Medrano, Anton Yelchin, Kelsey Grammer","An ordinary boy finds a magic amulet that chooses him to be a Trollhunter, a guardian that defends the world of humans and the secret world of trolls.","Title: Trollhunters Year: 2016–2018 Genre: Animation, Action, Adventure Cast: Charlie Saxton, Lexi Medrano, Anton Yelchin, Kelsey Grammer. Story: An ordinary boy finds a magic amulet that chooses him to be a Trollhunter, a guardian that defends the world of humans and the secret world of trolls."
802,The Tick,2016–2019,7.4,"Action, Adventure, Comedy","Peter Serafinowicz, Griffin Newman, Valorie Curry, Brendan Hines","In a world where superheroes have been real for decades, an accountant with no superpowers comes to realize his city is owned by a super villain. As he struggles to uncover this conspiracy, he falls in league with a strange blue superhero.","Title: The Tick Year: 2016–2019 Genre: Action, Adventure, Comedy Cast: Peter Serafinowicz, Griffin Newman, Valorie Curry, Brendan Hines. Story: In a world where superheroes have been real for decades, an accountant with no superpowers comes to realize his city is owned by a super villain. As he struggles to uncover this conspiracy, he falls in league with a strange blue superhero."
803,Alexa & Katie,2018–2020,7.5,"Comedy, Drama","Paris Berelc, Isabel May, Jolie Jenkins, Emery Kelly",Lifelong best friends Alexa Mendoza and Katie Cooper are anticipating the start of their freshman year of high school. They confront a crisis that leaves them feeling like outsiders at a time when fitting in is what seems to matter most.,"Title: Alexa & Katie Year: 2018–2020 Genre: Comedy, Drama Cast: Paris Berelc, Isabel May, Jolie Jenkins, Emery Kelly. Story: Lifelong best friends Alexa Mendoza and Katie Cooper are anticipating the start of their freshman year of high school. They confront a crisis that leaves them feeling like outsiders at a time when fitting in is what seems to matter most."
804,Kiseijû: Sei no kakuritsu,2014–2015,8.3,"Animation, Action, Horror","Adam Gibbs, Aya Hirano, Brittney Karbowski, Nobunaga Shimazaki","17-year-old Shinichi Izumi is partially infected by a Parasyte; monsters that butcher and consume humans. He must learn to co-exist with the creature if he is to survive both the life of a Parasyte and human, as part monster, part person.","Title: Kiseijû: Sei no kakuritsu Year: 2014–2015 Genre: Animation, Action, Horror Cast: Adam Gibbs, Aya Hirano, Brittney Karbowski, Nobunaga Shimazaki. Story: 17-year-old Shinichi Izumi is partially infected by a Parasyte; monsters that butcher and consume humans. He must learn to co-exist with the creature if he is to survive both the life of a Parasyte and human, as part monster, part person."
805,NOS4A2,2019–2020,6.7,"Drama, Fantasy, Horror","Ashleigh Cummings, Ólafur Darri Ólafsson, Jahkara Smith, Ebon Moss-Bachrach","Charlie Manx, a seductive immortal who feeds off the souls of children, has his whole world threatened when a young woman in New England discovers she has a dangerous gift.","Title: NOS4A2 Year: 2019–2020 Genre: Drama, Fantasy, Horror Cast: Ashleigh Cummings, Ólafur Darri Ólafsson, Jahkara Smith, Ebon Moss-Bachrach. Story: Charlie Manx, a seductive immortal who feeds off the souls of children, has his whole world threatened when a young woman in New England discovers she has a dangerous gift."
806,Hightown,2020– ,6.5,"Crime, Drama, Mystery","Riley Voelkel, Mike Pniewski, Tonya Glanz, Jona Xiao","Set in the world of beautiful but bleak Cape Cod, one woman's journey to sobriety is overshadowed by a murder investigation dragging her into its fold.","Title: Hightown Year: 2020–  Genre: Crime, Drama, Mystery Cast: Riley Voelkel, Mike Pniewski, Tonya Glanz, Jona Xiao. Story: Set in the world of beautiful but bleak Cape Cod, one woman's journey to sobriety is overshadowed by a murder investigation dragging her into its fold."
807,Damages,2007–2012,8.1,"Crime, Drama, Mystery","Glenn Close, Rose Byrne, Tate Donovan, Zachary Booth",A law school graduate becomes the protégée of a successful high-stakes litigator.,"Title: Damages Year: 2007–2012 Genre: Crime, Drama, Mystery Cast: Glenn Close, Rose Byrne, Tate Donovan, Zachary Booth. Story: A law school graduate becomes the protégée of a successful high-stakes litigator."
808,DARLING in the FRANXX,2018,7.4,"Animation, Action, Drama","Yûto Uemura, Kana Ichinose, Nanami Yamashita, Saori Hayami","In a future world where humanity has been driven to endangerment by giant beasts, a strike force is assembled to destroy the monsters and save the world.","Title: DARLING in the FRANXX Year: 2018 Genre: Animation, Action, Drama Cast: Yûto Uemura, Kana Ichinose, Nanami Yamashita, Saori Hayami. Story: In a future world where humanity has been driven to endangerment by giant beasts, a strike force is assembled to destroy the monsters and save the world."
809,Wu Assassins,2019,6.4,"Action, Crime, Drama","Iko Uwais, Byron Mann, Li Jun Li, Lawrence Kao",A warrior chosen as the latest and last Wu Assassin must search for the powers of an ancient triad and restore balance in San Francisco's Chinatown.,"Title: Wu Assassins Year: 2019 Genre: Action, Crime, Drama Cast: Iko Uwais, Byron Mann, Li Jun Li, Lawrence Kao. Story: A warrior chosen as the latest and last Wu Assassin must search for the powers of an ancient triad and restore balance in San Francisco's Chinatown."
810,Miseuteo Shunshain,2018,8.8,"Action, Drama, History","Lee Byung-hun, Kim Tae-ri, Yoo Yeon-Seok, Yo-Han Byun",A young boy who ends up in the U.S. after the 1871 Shinmiyangyo incident returns to Korea at a historical turning point and falls for a noblewoman.,"Title: Miseuteo Shunshain Year: 2018 Genre: Action, Drama, History Cast: Lee Byung-hun, Kim Tae-ri, Yoo Yeon-Seok, Yo-Han Byun. Story: A young boy who ends up in the U.S. after the 1871 Shinmiyangyo incident returns to Korea at a historical turning point and falls for a noblewoman."
811,Teen Titans Go!,2013– ,5.3,"Animation, Action, Adventure","Scott Menville, Greg Cipes, Khary Payton, Hynden Walch","Superhero roommates Robin, Cyborg, Starfire, Raven and Beast Boy love saving the day, but what happens when they're done fighting crime?","Title: Teen Titans Go! Year: 2013–  Genre: Animation, Action, Adventure Cast: Scott Menville, Greg Cipes, Khary Payton, Hynden Walch. Story: Superhero roommates Robin, Cyborg, Starfire, Raven and Beast Boy love saving the day, but what happens when they're done fighting crime?"
